u_brthyr,age_5,sc1714,ws1_2012,ws1_2032,ws1_2034,ws1_2036,ws1_2038,ws1cal01,ws1cal02,ws1cal03,ws1cal04,ws1imp04,ws2cal01,ws2cal02,ws2cal03,ws2cal04,ws2imp04,ws1_2024,vetstat,ws1_2028,ws1impo5,ws2impo5,ws1_wks4,ws1_wks3,ws1_wks2,ws1_wks1,fnlwgt_5,u_brthmn,rsncode,ws1_2026,agric1,trans1,trade1,finins1,service1,public1,profes1,manage1,cleric1,labor1,other1,educ,nrace,nmar,health,srvperd,nvstat,kwage,mhrs4,w4,mhrs3,w3,mhrs2,w2,mhrs1,w1,agesq,edsq,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1943,40,1,4,,,2500,2500,,,,,,,,,,,30,1,,,,4,5,4,5,42172851,2,999,2,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,1,1,20.833334,120,,150,,120,20.833334,150,16.666666,1600,324,0,1,0,0,0,0,0,0,0,0,0,0
1949,34,1,1,3100,3800,3300,3400,,,,,,,,,,,40,2,,,,4,5,4,5,48584907,9,1,2,0,0,0,0,1,0,1,0,0,0,0,12,0,1,0,,0,19.375,160,19.375,200,19,160,20.625,200,17,1156,144,0,0,0,0,0,0,0,0,1,0,0,0
1953,30,1,1,3200,4000,3200,4000,,1,,1,,,,,,,50,1,15.95,,,4,5,4,5,41630402,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,15.95,200,16,250,16,200,16,250,16,900,169,1,0,0,0,0,0,0,0,0,0,0,0
1946,37,1,4,2590,2200,2200,2200,,,,,,,,,,,40,1,,,,4,5,4,5,41020297,9,1,2,0,1,0,0,0,0,0,0,1,0,0,14,0,0,0,1,1,16.1875,160,16.1875,200,11,160,13.75,200,11,1369,196,0,0,0,0,0,0,0,0,1,0,0,0
1946,36,1,1,3000,3000,3000,3000,,,,,,,,,,,43,2,,,,4,5,4,5,43079378,11,1,2,0,0,0,1,0,0,0,0,1,0,0,18,0,0,0,,0,17.44186,172,17.44186,215,13.953488,172,17.44186,215,13.953488,1296,324,0,0,0,0,0,0,0,0,0,0,1,0
1949,33,1,1,1300,1300,1300,1300,,,,,,,,,,,40,2,,,,4,5,4,5,46146142,12,0,2,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,,0,8.125,160,8.125,200,6.5,160,8.125,200,6.5,1089,144,0,0,0,0,0,0,0,0,0,0,0,1
1953,30,2,,,,,,,,,,,,,,,,,2,,,,,,,,45255361,5,0,,,,,,,,,,,,,12,0,0,0,,0,,,,,,,,,,900,144,0,0,0,0,1,0,0,0,0,0,0,0
1954,29,1,1,1680,2100,1680,2100,,,,,,,,,,,40,2,10.5,,,4,5,4,5,62883819,9,999,1,0,0,0,0,1,0,1,0,0,0,0,14,0,1,0,,0,10.5,160,10.5,200,10.5,160,10.5,200,10.5,841,196,0,0,0,0,0,0,0,0,1,0,0,0
1951,31,1,1,2100,2625,2100,2625,,1,,1,,,,,,,40,1,,,,4,5,4,5,44459473,12,0,2,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,1,1,13.125,160,13.125,200,13.125,160,13.125,200,13.125,961,169,0,0,0,0,0,0,0,0,0,0,0,1
1952,31,1,1,1860,1860,1860,1860,,,,,,,,,,,40,1,,,,4,5,4,5,44069232,9,1,2,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,1,1,11.625,160,11.625,200,9.3000002,160,11.625,200,9.3000002,961,144,0,0,0,0,0,0,0,0,1,0,0,0
