byr,race,year,type,interval,nj,nj0,p_xl,p_l,earnings,iweight,iweight_old,nsrvd,ps_r,ern74,ern75,ern76,ern77,ern78,ern79,ern80,ern81,ern82,ern83,ern84
51,1,74,ADJ,13,203,36.94599914550781,.018337408,.012224942,8032.9702,6.3284187e-06,4.3926711e-06,4651,.2279902,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,31,181,26.06399917602539,.045560747,.012850468,8161.125,5.0840540e-06,3.9020624e-06,2212,.12087432,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,16,202,23.02799987792969,.011286682,.022573363,8334.7002,7.4304039e-06,5.6045847e-06,4605,.22684729,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,14,214,29.10400199890137,.021990741,.010416667,8391.2002,8.1491189e-06,5.7607717e-06,5242,.24045871,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,45,236,34.92800140380859,.019953052,.015258215,8550.9668,8.2420593e-06,5.7372285e-06,1375,.058016878,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,24,227,27.92100143432617,.014823261,.020524515,8187.8701,8.6723103e-06,6.4010806e-06,4022,.17411256,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,62,248,47.11999893188477,.024691358,.0049382723,7411.8833,7.8279136e-06,5.6009467e-06,1578,.06312,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,70,213,31.95000076293945,.022352941,.010588237,7717.3154,6.6551656e-06,5.0342919e-06,1446,.067887321,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,46,249,38.09700012207031,.028335301,.0094451029,8278.6973,8.1260669e-06,5.8263668e-06,1453,.058120001,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,20,240,32.87999725341797,.019698728,.0092699863,7960.5566,9.4962079e-06,6.8249492e-06,4390,.17991804,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,65,223,35.01100158691406,.021352313,.0047449595,7915.1899,8.5078373e-06,5.9203658e-06,1560,.069955155,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,11,233,37.0469970703125,.030915577,.0095124869,7776.915,7.6490242e-06,5.6023528e-06,4658,.19991416,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,63,252,34.02000045776367,.032369941,.013872831,8243.0938,8.1599037e-06,6.1154842e-06,1709,.067283466,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
